Brand,Product Name,Discounted Price,Original Price,Rating,Reviews,Material,Availability,Seller,Product URL
Mast & Harbour,Unisex Purse Clutch,₹219,MRP ₹999,4.5|1.2k Ratings,1.2k Ratings,PU,In Stock,Truecom Retail,https://www.myntra.com/clutches/mast+%26+harbour/mast--harbour-unisex-purse-clutch/30949099/buy
Lavie,Brand Logo Printed Purse,₹215,MRP ₹599,4.4|28 Ratings,28 Ratings,Synthetic leather,In Stock,Flashtech Retail,https://www.myntra.com/clutches/lavie/lavie-brand-logo-printed-purse/31453267/buy
Lavie,Brand Logo Printed Purse,₹215,MRP ₹599,4.3|12 Ratings,12 Ratings,Synthetic leather,In Stock,Flashtech Retail,https://www.myntra.com/clutches/lavie/lavie-brand-logo-printed-purse/31453266/buy
Lavie,Brand Logo Printed Purse Clutch,₹215,MRP ₹599,4.5|13 Ratings,13 Ratings,Synthetic Leather,In Stock,Flashtech Retail,https://www.myntra.com/clutches/lavie/lavie-brand-logo-printed-purse-clutch/31453255/buy
Lavie,Brand Logo Printed Purse,₹215,MRP ₹599,4|12 Ratings,12 Ratings,Synthetic leather,In Stock,Flashtech Retail,https://www.myntra.com/clutches/lavie/lavie-brand-logo-printed-purse/31453254/buy
Lavie,Brand Logo Printed Purse,₹215,MRP ₹599,4.4|18 Ratings,18 Ratings,Synthetic leather,In Stock,Flashtech Retail,https://www.myntra.com/clutches/lavie/lavie-brand-logo-printed-purse/31453251/buy
Lavie,Abstract Printed Purse Clutch,₹215,MRP ₹599,4.5|22 Ratings,22 Ratings,Synthetic Leather,In Stock,Flashtech Retail,https://www.myntra.com/clutches/lavie/lavie-abstract-printed-purse-clutch/31453236/buy
Lavie,Brand Logo Printed Purse Clutch,₹239,MRP ₹599,4.8|8 Ratings,8 Ratings,Synthetic Leather,In Stock,Flashtech Retail,https://www.myntra.com/clutches/lavie/lavie-brand-logo-printed-purse-clutch/31453240/buy
ENOKI,Women Solid Button Closure Purse,₹299,MRP ₹749,4|5 Ratings,5 Ratings,Synthetic,In Stock,Baggit India Pvt LTD,https://www.myntra.com/clutches/enoki/enoki-women-solid-button-closure-purse/21782610/buy
ENOKI,Women Solid Button Closure Purse,₹299,MRP ₹749,N/A,N/A,Synthetic,In Stock,Baggit India Pvt LTD,https://www.myntra.com/clutches/enoki/enoki-women-solid-button-closure-purse/21782608/buy
Bag Pepper,Grey & White Printed Purse Clutch,₹299,MRP ₹1050,4.1|12 Ratings,12 Ratings,PU,In Stock,BAG STATION,https://www.myntra.com/clutches/bag+pepper/bag-pepper-grey--white-printed-purse-clutch/20560224/buy
Lavie,Abstract Printed Purse Clutch,₹323,MRP ₹899,N/A,N/A,Synthetic Leather,In Stock,Flashtech Retail,https://www.myntra.com/clutches/lavie/lavie-abstract-printed-purse-clutch/31453263/buy
Lavie,Brand Logo Printed Purse Clutch,₹323,MRP ₹899,4|6 Ratings,6 Ratings,Synthetic Leather,In Stock,Flashtech Retail,https://www.myntra.com/clutches/lavie/lavie-brand-logo-printed-purse-clutch/31453248/buy
Lavie,Brand Logo Printed Purse,₹323,MRP ₹899,N/A,N/A,Synthetic leather,In Stock,Flashtech Retail,https://www.myntra.com/clutches/lavie/lavie-brand-logo-printed-purse/31453247/buy
Lavie,Brand Logo Printed Purse,₹323,MRP ₹899,4.4|9 Ratings,9 Ratings,Synthetic leather,In Stock,Flashtech Retail,https://www.myntra.com/clutches/lavie/lavie-brand-logo-printed-purse/31453245/buy
Lavie,Brand Logo Printed Purse,₹323,MRP ₹899,N/A,N/A,Synthetic leather,In Stock,Flashtech Retail,https://www.myntra.com/clutches/lavie/lavie-brand-logo-printed-purse/31453237/buy
Bag Pepper,Beige & Pink Printed Purse Clutch,₹350,MRP ₹1050,4.1|40 Ratings,40 Ratings,PU,In Stock,BAG STATION,https://www.myntra.com/clutches/bag+pepper/bag-pepper-beige--pink-printed-purse-clutch/20560210/buy
FOREVER 21,Grey Fringed Pouches And Coin Purse,₹359,MRP ₹899,4.3|21 Ratings,21 Ratings,Fabric,In Stock,Westbury Holdings Pvt Ltd_Forever21,https://www.myntra.com/clutches/forever+21/forever-21-grey-fringed-pouches-and-coin-purse/20090780/buy
FOREVER 21,Women White Textured Purse Clutch,₹359,MRP ₹899,2.6|18 Ratings,18 Ratings,100% Polyester,In Stock,Westbury Holdings Pvt Ltd_Madura,https://www.myntra.com/clutches/forever+21/forever-21-women-white-textured-purse-clutch/20033024/buy
CIMONI,Black Purse Clutch,₹379,MRP ₹1899,N/A,N/A,Leather,In Stock,JHANJI EXPORTS PVT. LTD.,https://www.myntra.com/clutches/cimoni/cimoni-black-purse-clutch/24786578/buy
BohoGirl,Printed Purse Clutch,₹389,MRP ₹999,N/A,N/A,Fabric,In Stock,PARUL HANDICRAFTS (P)LTD,https://www.myntra.com/clutches/bohogirl/bohogirl-printed-purse-clutch/30481218/buy
Kuber Industries,Embellished Purse Clutch,₹395,MRP ₹1099,N/A,N/A,Fabric,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-embellished-purse-clutch/32694653/buy
Kuber Industries,Embellished Silk Purse Clutch,₹395,MRP ₹1099,N/A,N/A,Silk,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-embellished-silk-purse-clutch/32694650/buy
Kuber Industries,Embellished Silk Purse Clutch,₹395,MRP ₹1099,N/A,N/A,Silk,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-embellished-silk-purse-clutch/32694647/buy
Kuber Industries,Embroidered Silk Mirror Check Purse Clutch,₹395,MRP ₹1099,N/A,N/A,Silk,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-embroidered-silk-mirror-check-purse-clutch/32694643/buy
Kuber Industries,Gold Toned & Red Pack of 3 Leaf Printed Purse Clutchs,₹399,MRP ₹499,N/A,N/A,Silk,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-gold-toned--red-pack-of-3-leaf-printed-purse-clutchs/32694530/buy
Kuber Industries,Women Embroidered Purse Clutch,₹399,MRP ₹499,N/A,N/A,Synthetic,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-women-embroidered-purse-clutch/22229592/buy
Bagsy Malone,Textured Water Resistance Mobile Purse,₹399,MRP ₹2199,N/A,N/A,PU,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-textured-water-resistance-mobile-purse/25835484/buy
Bagsy Malone,Textured Water Resistance Mobile Purse,₹399,MRP ₹2199,4.9|10 Ratings,10 Ratings,PU,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-textured-water-resistance-mobile-purse-/25835470/buy
Bagsy Malone,Purse Clutch,₹399,MRP ₹2199,N/A,N/A,PU,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-purse-clutch/25375166/buy
Bagsy Malone,Purse Clutch,₹399,MRP ₹2199,3.1|7 Ratings,7 Ratings,PU,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-purse-clutch/25375162/buy
Bagsy Malone,Purse Clutch,₹399,MRP ₹2199,4.1|8 Ratings,8 Ratings,PU,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-purse-clutch/25375160/buy
Bagsy Malone,Purse Clutch,₹399,MRP ₹2199,N/A,N/A,PU,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-purse-clutch/25375156/buy
Bagsy Malone,Textured Purse Clutch,₹399,MRP ₹2199,3|10 Ratings,10 Ratings,PU,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-textured-purse-clutch/21151900/buy
Bagsy Malone,Textured Purse Clutch,₹399,MRP ₹2199,5|5 Ratings,5 Ratings,PU,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-textured-purse-clutch/21151890/buy
Bagsy Malone,Peach-Coloured Mobile Pouch Clutch,₹399,MRP ₹2199,4.7|12 Ratings,12 Ratings,PU,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-peach-coloured-mobile-pouch-clutch/15821800/buy
Bagsy Malone,Brown Purse Clutch,₹399,MRP ₹2199,3.3|7 Ratings,7 Ratings,PU,In Stock,Melange Asia Global Private Limited,https://www.myntra.com/clutches/bagsy+malone/bagsy-malone-brown-purse-clutch/15821788/buy
Kuber Industries,Set Of 4 Embellished Embroidered Purse Clutchs,₹401,MRP ₹599,N/A,N/A,Silk,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-set-of-4-embellished-embroidered-purse-clutchs/28592920/buy
Kuber Industries,Embroidery Purse Clutch,₹431,MRP ₹599,N/A,N/A,Polyester,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-embroidery-purse-clutch/25668314/buy
Kuber Industries,Unisex Embellished Purse Clutch,₹431,MRP ₹599,2.5|8 Ratings,8 Ratings,Synthetic,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-unisex-embellished-purse-clutch/25668270/buy
Aditi Wasan,Red & Gold-Toned Textured Purse Clutch,₹443,MRP ₹1199,3.6|9 Ratings,9 Ratings,Fabric,In Stock,Wasan Overseas Pvt. Ltd.,https://www.myntra.com/clutches/aditi+wasan/aditi-wasan-red--gold-toned-textured-purse-clutch/16345332/buy
Kuber Industries,Pack Of 5 Embroidered Purse Clutch,₹447,MRP ₹699,N/A,N/A,Fabric,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-pack-of-5-embroidered-purse-clutch/28592848/buy
Fostelo,Tan Purse Clutch,₹449,MRP ₹1299,4.8|5 Ratings,5 Ratings,PU,In Stock,Promunt Online Services Pvt Ltd,https://www.myntra.com/clutches/fostelo/fostelo-tan-purse-clutch/18993844/buy
Fostelo,Red Purse Clutch,₹449,MRP ₹1299,3.9|8 Ratings,8 Ratings,PU,In Stock,Promunt Online Services Pvt Ltd,https://www.myntra.com/clutches/fostelo/fostelo-red-purse-clutch/18993800/buy
Fostelo,Women Tan Solid Purse Clutch,₹449,MRP ₹1299,N/A,N/A,PU,In Stock,Promunt Online Services Pvt Ltd,https://www.myntra.com/clutches/fostelo/fostelo-women-tan-solid-purse-clutch/18993782/buy
Fostelo,Beige Solid Clutch,₹449,MRP ₹1299,N/A,N/A,PU,In Stock,Promunt Online Services Pvt Ltd,https://www.myntra.com/clutches/fostelo/fostelo-beige-solid-clutch/12562256/buy
Fostelo,Black Solid Purse Clutch,₹449,MRP ₹1299,3.9|15 Ratings,15 Ratings,PU,In Stock,Promunt Online Services Pvt Ltd,https://www.myntra.com/clutches/fostelo/fostelo-black-solid-purse-clutch/12562254/buy
